type,gender,vage,age,ageg,region,ee,num,cost
B,F,1,18,1,BJ,26.89,20,33973.4
B,F,1,18,1,SH,3.089,2,2167.5
B,F,1,18,1,SZ,3.299,2,2082.5
B,F,1,18,1,CQ,1,0,0
B,F,1,19,1,BJ,31.493,23,36339.2
B,F,1,19,1,SH,6.42,2,3315
B,F,1,19,1,SZ,1.9,1,1700
B,F,1,19,1,TJ,1.099,1,1190
B,F,1,19,1,CQ,1.69,2,5534.35
B,F,1,20,1,BJ,79.862,63,279906.05
B,F,1,20,1,SH,12.521,9,6736.5
B,F,1,20,1,SZ,4.079,5,9685.75
B,F,1,20,1,TJ,2.984,1,693
B,F,1,20,1,CQ,5.363,5,4200.7
B,F,1,21,2,BJ,134.354,136,314835.8
B,F,1,21,2,SH,20.456,16,24184.57
B,F,1,21,2,SZ,5.071,16,38660.91
B,F,1,21,2,TJ,8.176,4,2335
B,F,1,21,2,CQ,5.984,5,3179
B,F,1,22,2,BJ,253.46,263,701111.63
B,F,1,22,2,SH,40.708,24,26821.5
B,F,1,22,2,SZ,5.961,3,4508.5
B,F,1,22,2,TJ,6.32,3,18782.45
B,F,1,22,2,CQ,14.362,12,24921.92
B,F,1,23,2,BJ,379.411,329,882539.79
B,F,1,23,2,SH,57.201,52,159528.5
B,F,1,23,2,SZ,7.823,7,15576.75
B,F,1,23,2,TJ,8.747,8,4169.25
B,F,1,23,2,CQ,30.69,23,32462.23
B,F,1,24,2,BJ,428.991,377,837600.45
B,F,1,24,2,SH,71.032,63,200126.15
B,F,1,24,2,SZ,13.067,11,17825.1
B,F,1,24,2,TJ,17.135,8,10468.85
B,F,1,24,2,CQ,35.443,27,38827.5
B,F,1,25,2,BJ,550.009,459,1064388.06
B,F,1,25,2,SH,89.64,93,218486
B,F,1,25,2,SZ,14.147,25,97963.15
B,F,1,25,2,TJ,10.92,7,9563.35
B,F,1,25,2,CQ,43.184,30,31009.75
B,F,1,26,3,BJ,675.533,575,1170950.07
B,F,1,26,3,SH,101.324,78,116747.8
B,F,1,26,3,SZ,26.042,34,78014.65
B,F,1,26,3,TJ,19.28,15,19566.15
B,F,1,26,3,CQ,47.389,39,84280.95
B,F,1,27,3,BJ,859.134,746,1502383.35
B,F,1,27,3,SH,129.539,121,173494.3
B,F,1,27,3,SZ,38.793,25,37975.65
B,F,1,27,3,TJ,15.585,8,8755
B,F,1,27,3,CQ,59.569,40,34071.23
B,F,1,28,3,BJ,839.401,696,1695062.9
B,F,1,28,3,SH,115.35,106,120248.71
B,F,1,28,3,SZ,45.211,52,75569.85
B,F,1,28,3,TJ,14.354,7,9665.05
B,F,1,28,3,CQ,75.881,59,116296.65
B,F,1,29,3,BJ,788.475,666,1564819.84
B,F,1,29,3,SH,79.622,74,94077.5
B,F,1,29,3,SZ,45.291,51,207627.97
B,F,1,29,3,TJ,16.994,9,5924
B,F,1,29,3,CQ,59.623,55,69581.93
B,F,1,30,3,BJ,720.9,617,1347874.65
B,F,1,30,3,SH,83.496,69,95220
B,F,1,30,3,SZ,40.741,50,119803.95
B,F,1,30,3,TJ,8.852,2,3400
B,F,1,30,3,CQ,56.587,33,54169.65
B,F,1,31,4,BJ,677.907,566,1254513.7
B,F,1,31,4,SH,103.882,87,140347.3
B,F,1,31,4,SZ,23.828,17,26820.15
B,F,1,31,4,TJ,9.264,8,10996.45
B,F,1,31,4,CQ,47.493,37,83739.88
B,F,1,32,4,BJ,620.607,506,1219428.1
B,F,1,32,4,SH,94.677,79,336223.25
B,F,1,32,4,SZ,25.025,25,39509.53
B,F,1,32,4,TJ,11.24,7,12721.55
